SYSTEM:Time.1(s)	Veh_SIP:vehicle.acc.x.2(m_s2)	Veh_SIP:vehicle.acc.y.3(m_s2)	Veh_SIP:vehicle.acc.z.4(m_s2)	Veh_SIP:vehicle.z.5(mm)
6.190	-0.776	-0.230	-0.035	1382.448
6.200	-0.707	-0.265	-0.049	1382.271
6.210	-0.639	-0.281	-0.058	1382.090
6.220	-0.602	-0.319	-0.062	1381.906
6.230	-0.628	-0.468	-0.058	1381.717
6.240	-0.673	-0.702	-0.041	1381.524
6.250	-0.643	-0.852	-0.014	1381.330
6.260	-0.556	-0.863	0.016	1381.137
6.270	-0.479	-0.792	0.040	1380.947
6.280	-0.436	-0.709	0.050	1380.764
6.290	-0.448	-0.890	0.041	1380.587
6.300	-0.438	-1.528	0.014	1380.415
6.310	-0.335	-1.201	-0.034	1380.245
6.320	-0.244	-0.020	-0.097	1380.073
6.330	-0.120	1.136	-0.168	1379.892
6.340	0.045	1.550	-0.246	1379.693
6.350	0.211	0.885	-0.328	1379.469
6.360	0.410	-0.279	-0.414	1379.212
6.370	0.593	-1.100	-0.501	1378.913
6.380	0.767	-1.153	-0.580	1378.563
6.390	0.956	-0.541	-0.641	1378.155
6.400	1.150	0.123	-0.675	1377.683
6.410	1.351	0.223	-0.670	1377.144
6.420	1.550	-0.372	-0.618	1376.537
6.430	1.757	-1.344	-0.513	1375.869
6.440	1.949	-2.180	-0.358	1375.150
6.450	2.076	-2.386	-0.161	1374.394
6.460	2.103	-1.876	0.053	1373.623
6.470	2.005	-0.981	0.247	1372.858
6.480	1.824	-0.188	0.377	1372.117
6.490	1.637	0.227	0.411	1371.411
6.500	1.484	0.255	0.328	1370.746
6.510	1.385	0.127	0.129	1370.113
6.520	1.334	0.112	-0.150	1369.492
6.530	1.253	0.297	-0.456	1368.855
6.540	1.203	0.595	-0.725	1368.173
6.550	1.133	0.826	-0.903	1367.421
6.560	1.037	0.944	-0.958	1366.579
6.570	0.942	1.009	-0.888	1365.643
6.580	0.877	1.076	-0.712	1364.615
6.590	0.822	1.074	-0.480	1363.517
6.600	0.769	0.680	-0.230	1362.379
6.610	0.670	0.316	0.007	1361.216
6.620	0.499	0.004	0.219	1360.056
6.630	0.252	-0.378	0.400	1358.917
6.640	-0.042	-0.899	0.551	1357.817
6.650	-0.342	-1.497	0.672	1356.771
6.660	-0.602	-1.970	0.760	1355.793
6.670	-0.823	-2.114	0.808	1354.890
6.680	-1.005	-1.823	0.804	1354.068
6.690	-1.163	-1.214	0.738	1353.327
6.700	-1.314	-0.555	0.608	1352.661
6.710	-1.438	-0.104	0.424	1352.059
6.720	-1.524	0.048	0.209	1351.503
6.730	-1.590	0.020	-0.002	1350.972
6.740	-1.629	0.059	-0.174	1350.447
6.750	-1.658	0.385	-0.278	1349.910
6.760	-1.686	0.972	-0.296	1349.353
6.770	-1.696	1.539	-0.230	1348.773
6.780	-1.686	1.774	-0.096	1348.179
6.790	-1.642	1.524	0.081	1347.581
6.800	-1.556	0.890	0.276	1346.999
6.810	-1.441	0.142	0.470	1346.451
6.820	-1.319	-0.463	0.651	1345.954
6.830	-1.227	-0.771	0.814	1345.527
6.840	-1.185	-0.768	0.951	1345.184
6.850	-1.178	-0.582	1.050	1344.939
6.860	-1.181	-0.360	1.092	1344.802
6.870	-1.160	-0.185	1.055	1344.776
6.880	-1.074	-0.095	0.928	1344.858
6.890	-0.919	-0.093	0.714	1345.033
6.900	-0.731	-0.169	0.435	1345.286
6.910	-0.562	-0.289	0.144	1345.579
6.920	-0.430	-0.416	-0.114	1345.878
6.930	-0.319	-0.529	-0.313	1346.163
6.940	-0.214	-0.610	-0.434	1346.418
6.950	-0.100	-0.646	-0.469	1346.632
6.960	0.039	-0.626	-0.427	1346.801
6.970	0.194	-0.558	-0.330	1346.927
6.980	0.362	-0.441	-0.198	1347.017
6.990	0.526	-0.274	-0.054	1347.089
7.000	0.675	-0.064	0.096	1347.157
7.010	0.823	0.175	0.257	1347.236
7.020	0.944	0.389	0.430	1347.345
7.030	1.022	0.529	0.609	1347.499
7.040	1.048	0.561	0.776	1347.716
7.050	0.977	0.458	0.909	1348.004
7.060	0.823	0.204	0.982	1348.381
7.070	0.633	-0.173	0.971	1348.854
7.080	0.459	-0.541	0.861	1349.427
7.090	0.363	-0.734	0.666	1350.081
7.100	0.314	-0.701	0.414	1350.796
7.110	0.300	-0.516	0.140	1351.546
7.120	0.309	-0.296	-0.115	1352.303
7.130	0.277	-0.154	-0.323	1353.041
7.140	0.227	-0.103	-0.473	1353.744
7.150	0.165	-0.105	-0.563	1354.394
7.160	0.081	-0.094	-0.603	1354.987
7.170	0.019	-0.043	-0.610	1355.519
7.180	-0.066	0.034	-0.595	1355.993
7.190	-0.183	0.132	-0.564	1356.408
7.200	-0.289	0.242	-0.514	1356.766
7.210	-0.420	0.335	-0.441	1357.078
7.220	-0.535	0.394	-0.340	1357.351
7.230	-0.633	0.418	-0.206	1357.597
7.240	-0.766	0.436	-0.046	1357.829
7.250	-0.891	0.472	0.131	1358.065
7.260	-1.047	0.527	0.303	1358.322
7.270	-1.222	0.570	0.447	1358.618
7.280	-1.358	0.567	0.537	1358.968
7.290	-1.501	0.516	0.558	1359.378
7.300	-1.626	0.445	0.506	1359.845
7.310	-1.685	0.412	0.373	1360.376
7.320	-1.698	0.465	0.187	1360.948
7.330	-1.635	0.618	-0.023	1361.539
7.340	-1.525	0.855	-0.234	1362.134
7.350	-1.407	1.161	-0.419	1362.716
7.360	-1.287	1.501	-0.556	1363.265
7.370	-1.175	1.839	-0.632	1363.770
7.380	-1.048	2.124	-0.650	1364.223
7.390	-0.884	2.329	-0.621	1364.624
7.400	-0.669	2.437	-0.564	1364.974
7.410	-0.423	2.428	-0.500	1365.281
7.420	-0.179	2.317	-0.444	1365.548
7.430	0.066	2.118	-0.408	1365.782
7.440	0.299	1.823	-0.392	1365.983
7.450	0.534	1.413	-0.389	1366.152
7.460	0.772	0.903	-0.386	1366.287
7.470	0.992	0.366	-0.371	1366.387
7.480	1.193	-0.075	-0.337	1366.451
7.490	1.334	-0.300	-0.291	1366.481
7.500	1.417	-0.280	-0.245	1366.481
7.510	1.488	-0.090	-0.218	1366.454
7.520	1.548	0.151	-0.224	1366.405
7.530	1.630	0.314	-0.276	1366.332
7.540	1.718	0.399	-0.364	1366.233
7.550	1.788	0.466	-0.469	1366.101
7.560	1.889	0.572	-0.567	1365.925
7.570	2.001	0.742	-0.626	1365.696
7.580	2.100	0.978	-0.619	1365.409
7.590	2.217	1.259	-0.533	1365.067
7.600	2.295	1.563	-0.372	1364.677
7.610	2.329	1.810	-0.155	1364.257
7.620	2.362	1.821	0.079	1363.827
7.630	2.321	1.515	0.285	1363.410
7.640	2.247	0.956	0.424	1363.025
7.650	2.140	0.252	0.466	1362.684
7.660	1.985	-0.373	0.405	1362.389
7.670	1.840	-0.396	0.254	1362.135
7.680	1.682	-0.915	0.049	1361.904
7.690	1.512	-1.337	-0.166	1361.677
7.700	1.325	-1.524	-0.347	1361.431
7.710	1.119	-1.468	-0.470	1361.150
7.720	0.915	-1.289	-0.521	1360.822
7.730	0.688	-1.164	-0.506	1360.441
7.740	0.448	-1.249	-0.441	1360.009
7.750	0.213	-1.537	-0.350	1359.533
7.760	-0.028	-1.871	-0.249	1359.022
7.770	-0.279	-2.100	-0.148	1358.486
7.780	-0.581	-2.165	-0.045	1357.937
7.790	-0.946	-2.233	0.071	1357.386
7.800	-1.289	-2.604	0.219	1356.849
7.810	-1.551	-3.323	0.411	1356.339
7.820	-1.698	-4.076	0.647	1355.880
7.830	-1.728	-4.345	0.897	1355.502
7.840	-1.759	-3.838	1.095	1355.233
7.850	-1.804	-2.839	1.180	1355.086
7.860	-1.885	-1.770	1.113	1355.063
7.870	-1.959	-0.967	0.894	1355.148
7.880	-1.980	-0.612	0.534	1355.328
7.890	-1.967	-0.673	0.088	1355.568
7.900	-1.940	-0.941	-0.368	1355.828
7.910	-1.952	-1.069	-0.737	1356.058
7.920	-2.048	-0.938	-0.959	1356.222
7.930	-2.204	-0.668	-1.023	1356.306
7.940	-2.397	-0.469	-0.930	1356.302
7.950	-2.593	-0.505	-0.716	1356.218
7.960	-2.748	-0.768	-0.432	1356.076
7.970	-2.830	-1.119	-0.124	1355.902
7.980	-2.795	-1.361	0.170	1355.726
7.990	-2.610	-1.364	0.430	1355.577
8.000	-2.238	-1.161	0.650	1355.480
8.010	-1.701	-0.884	0.818	1355.462
8.020	-1.154	-0.629	0.932	1355.528
8.030	-0.622	-0.593	0.978	1355.692
8.040	-0.157	-0.675	0.953	1355.948
8.050	0.144	-0.788	0.847	1356.306
8.060	0.372	-0.723	0.679	1356.738
8.070	0.544	-0.462	0.459	1357.230
8.080	0.686	-0.094	0.206	1357.765
8.090	0.849	0.224	-0.058	1358.319
8.100	1.027	0.381	-0.305	1358.868
8.110	1.196	0.489	-0.511	1359.386
8.120	1.328	0.712	-0.662	1359.855
8.130	1.343	1.158	-0.751	1360.251
8.140	1.298	1.737	-0.793	1360.574
8.150	1.242	2.264	-0.804	1360.831
8.160	1.159	2.671	-0.791	1361.022
8.170	1.091	2.947	-0.754	1361.146
8.180	0.998	3.169	-0.697	1361.209
8.190	0.850	3.451	-0.617	1361.217
8.200	0.702	3.846	-0.513	1361.181
8.210	0.558	4.274	-0.391	1361.113
8.220	0.493	4.574	-0.261	1361.029
8.230	0.554	4.574	-0.144	1360.941
8.240	0.615	4.292	-0.066	1360.863
8.250	0.674	3.766	-0.055	1360.801
8.260	0.696	3.135	-0.110	1360.752
8.270	0.690	2.480	-0.219	1360.706
8.280	0.719	1.881	-0.352	1360.648
8.290	0.741	1.367	-0.473	1360.565
8.300	0.745	0.973	-0.548	1360.442
8.310	0.714	0.676	-0.553	1360.271
8.320	0.611	0.411	-0.479	1360.049
8.330	0.429	0.154	-0.340	1359.783
8.340	0.176	-0.050	-0.171	1359.485
8.350	-0.137	-0.145	-0.013	1359.170
8.360	-0.462	-0.073	0.092	1358.851
8.370	-0.766	0.181	0.115	1358.539
8.380	-1.040	0.544	0.046	1358.239
8.390	-1.272	0.872	-0.096	1357.945
8.400	-1.459	1.054	-0.266	1357.643
8.410	-1.598	1.060	-0.416	1357.317
8.420	-1.659	0.922	-0.510	1356.955
8.430	-1.642	0.738	-0.525	1356.546
8.440	-1.539	0.567	-0.464	1356.087
8.450	-1.321	0.370	-0.353	1355.582
8.460	-1.027	0.070	-0.238	1355.042
8.470	-0.711	-0.389	-0.162	1354.476
8.480	-0.402	-0.955	-0.130	1353.894
8.490	-0.113	-1.571	-0.126	1353.302
8.500	0.164	-2.185	-0.130	1352.699
8.510	0.403	-2.723	-0.114	1352.086
8.520	0.585	-3.101	-0.057	1351.467
8.530	0.695	-3.252	0.047	1350.848
8.540	0.714	-3.200	0.179	1350.240
8.550	0.675	-3.056	0.298	1349.658
8.560	0.646	-2.952	0.358	1349.112
8.570	0.673	-2.947	0.322	1348.609
8.580	0.766	-2.988	0.178	1348.146
8.590	0.883	-2.987	-0.053	1347.708
8.600	0.996	-2.943	-0.323	1347.276
8.610	1.086	-2.926	-0.565	1346.822
8.620	1.137	-2.970	-0.718	1346.324
8.630	1.173	-3.026	-0.739	1345.766
8.640	1.214	-2.985	-0.626	1345.147
8.650	1.276	-2.779	-0.413	1344.479
8.660	1.372	-2.396	-0.153	1343.780
8.670	1.486	-1.866	0.099	1343.074
8.680	1.599	-1.274	0.286	1342.384
8.690	1.670	-0.731	0.374	1341.728
8.700	1.683	-0.333	0.361	1341.116
8.710	1.664	-0.095	0.276	1340.544
8.720	1.618	0.068	0.156	1340.004
8.730	1.567	0.259	0.044	1339.485
8.740	1.499	0.516	-0.031	1338.976
8.750	1.381	0.786	-0.054	1338.470
8.760	1.215	0.980	-0.033	1337.964
8.770	1.011	1.031	0.010	1337.460
8.780	0.786	0.973	0.046	1336.960
8.790	0.582	0.869	0.048	1336.468
8.800	0.408	0.857	0.009	1335.983
8.810	0.255	1.038	-0.060	1335.501
8.820	0.094	1.354	-0.137	1335.016
8.830	-0.113	1.656	-0.193	1334.522
8.840	-0.336	1.742	-0.195	1334.016
8.850	-0.539	1.486	-0.122	1333.497
8.860	-0.701	0.985	0.035	1332.972
8.870	-0.794	0.541	0.263	1332.454
8.880	-0.878	0.450	0.521	1331.966
8.890	-0.970	0.763	0.756	1331.533
